column,selectivity,threshold,method,run,time_ms
l_shipdate,3.78%,date '1993-01-01',sketch,4,22.000
l_shipdate,3.78%,date '1993-01-01',sketch,5,23.000
l_shipdate,12.7%,date '1993-08-01',sketch,1,25.000
l_shipdate,12.7%,date '1993-08-01',sketch,2,24.000
l_shipdate,12.7%,date '1993-08-01',sketch,3,25.000
l_shipdate,12.7%,date '1993-08-01',sketch,4,24.000
l_shipdate,12.7%,date '1993-08-01',sketch,5,26.000
l_shipdate,27.8%,date '1994-04-01',sketch,1,29.000
l_shipdate,27.8%,date '1994-04-01',sketch,2,27.000
l_shipdate,27.8%,date '1994-04-01',sketch,3,26.000
l_shipdate,27.8%,date '1994-04-01',sketch,4,26.000
l_shipdate,27.8%,date '1994-04-01',sketch,5,28.000
l_shipdate,43.0%,date '1995-01-01',sketch,1,29.000
l_shipdate,43.0%,date '1995-01-01',sketch,2,31.000
l_shipdate,43.0%,date '1995-01-01',sketch,3,31.000
l_shipdate,43.0%,date '1995-01-01',sketch,4,29.000
l_shipdate,43.0%,date '1995-01-01',sketch,5,28.000
l_shipdate,73.4%,date '1996-06-01',sketch,1,29.000
l_shipdate,73.4%,date '1996-06-01',sketch,2,29.000
l_shipdate,73.4%,date '1996-06-01',sketch,3,31.000
l_shipdate,73.4%,date '1996-06-01',sketch,4,28.000
l_shipdate,73.4%,date '1996-06-01',sketch,5,29.000
l_shipdate,3.78%,date '1993-01-01',cubit,1,107.000
l_shipdate,3.78%,date '1993-01-01',cubit,2,34.000
l_shipdate,3.78%,date '1993-01-01',cubit,3,36.000
l_shipdate,3.78%,date '1993-01-01',cubit,4,34.000
l_shipdate,3.78%,date '1993-01-01',cubit,5,34.000
l_shipdate,12.7%,date '1993-08-01',cubit,1,40.000
l_shipdate,12.7%,date '1993-08-01',cubit,2,38.000
l_shipdate,12.7%,date '1993-08-01',cubit,3,40.000
l_shipdate,12.7%,date '1993-08-01',cubit,4,38.000
l_shipdate,12.7%,date '1993-08-01',cubit,5,39.000
l_shipdate,27.8%,date '1994-04-01',cubit,1,43.000
l_shipdate,27.8%,date '1994-04-01',cubit,2,43.000
l_shipdate,27.8%,date '1994-04-01',cubit,3,43.000
l_shipdate,27.8%,date '1994-04-01',cubit,4,43.000
l_shipdate,27.8%,date '1994-04-01',cubit,5,43.000
l_shipdate,43.0%,date '1995-01-01',cubit,1,48.000
l_shipdate,43.0%,date '1995-01-01',cubit,2,46.000
l_shipdate,43.0%,date '1995-01-01',cubit,3,47.000
l_shipdate,43.0%,date '1995-01-01',cubit,4,46.000
l_shipdate,43.0%,date '1995-01-01',cubit,5,46.000
l_shipdate,73.4%,date '1996-06-01',cubit,1,56.000
l_shipdate,73.4%,date '1996-06-01',cubit,2,52.000
l_shipdate,73.4%,date '1996-06-01',cubit,3,51.000
l_shipdate,73.4%,date '1996-06-01',cubit,4,52.000
l_shipdate,73.4%,date '1996-06-01',cubit,5,55.000
l_shipdate,3.78%,date '1993-01-01',rabit,1,108.000
l_shipdate,3.78%,date '1993-01-01',rabit,2,33.000
l_shipdate,3.78%,date '1993-01-01',rabit,3,32.000
l_shipdate,3.78%,date '1993-01-01',rabit,4,32.000
l_shipdate,3.78%,date '1993-01-01',rabit,5,30.000
l_shipdate,12.7%,date '1993-08-01',rabit,1,33.000
l_shipdate,12.7%,date '1993-08-01',rabit,2,32.000
l_shipdate,12.7%,date '1993-08-01',rabit,3,32.000
l_shipdate,12.7%,date '1993-08-01',rabit,4,32.000
l_shipdate,12.7%,date '1993-08-01',rabit,5,33.000
